RANK,TITLE,TOTAL HOURS(MILLION),ESPORTS HOURS(MILLION),SHARE ESPORTS,CHANGE
1,League of Legends,108.8,45.9,0.42,1
2,Counter-Strike: Global Offensive,24.1,10.4,0.43,1
3,Dota 2,35.2,9.3,0.27,1
4,Hearthstone,22.1,3.9,0.18,1
5,Rocket League,5.3,3,0.57,-
6,StarCraft II,4.6,1.9,0.4,3
7,Heroes of the Storm,4.6,1.6,0.34,-
8,World of Warcraft,25.4,1.1,0.04,-
9,Super Smash Bros. Melee,1.3,1,0.73,NEW!
