RANK,TITLE,TOTAL HOURS(MILLION),ESPORTS HOURS(MILLION),SHARE ESPORTS,CHANGE
1,League of Legends,10.1,6.5,0.65,-
2,Dota 2,3.8,1.1,0.29,1
3,Counter-Strike: Global Offensive,3,1.1,0.35,1
4,Arena of Valor,1.9,0.6,0.33,NEW!
5,Tom Clancy's Rainbow Six: Siege,0.9,0.2,0.18,1
6,Garena RoV: Mobile MOBA,1.7,0.1,0.05,1
7,Point Blank,0.2,0,0.24,1
8,Street Fighter V,0.2,0,0.09,NEW!
9,FIFA Online 4,0,0,0.4,NEW!
10,Clash Royale,1.7,0,0,3
