RANK,TITLE,TOTAL HOURS(MILLION),ESPORTS HOURS(MILLION),SHARE ESPORTS,CHANGE
1,League of Legends,16.3,12,0.74,-
2,PLAYERUNKNOWN'S BATTLEGROUNDS,15.5,1,0.07,3
3,Tom Clancy's Rainbow Six: Siege,1.7,0.7,0.38,4
4,Age of Empires,0.7,0.5,0.75,NEW!
5,Dota 2,2.8,0.5,0.18,3
6,Counter-Strike: Global Offensive,3.8,0.4,0.11,2
7,Arena of Valor,4.1,0.4,0.1,1
8,Call of Duty: WWII,0.3,0.1,0.22,10
9,Street Fighter V,0.2,0.1,0.33,1
10,Monster Hunter World,0.7,0.1,0.07,
