RANK,TITLE,TOTAL HOURS(MILLION),ESPORTS HOURS(MILLION),SHARE ESPORTS,CHANGE
1,League of Legends,13.3,7,0.52,-
2,Counter-Strike: Global Offensive,6.6,2.5,0.37,4
3,Dota 2,4.1,1.2,0.29,1
4,Arena of Valor,4.3,0.6,0.13,4
5,Age of Empires,0.9,0.6,0.66,5
6,Tom Clancy's Rainbow Six: Siege,2.1,0.5,0.22,2
7,Fortnite,33.1,0.4,0.01,4
