RANK,TITLE,TOTAL HOURS(MILLION),ESPORTS HOURS(MILLION),SHARE ESPORTS,CHANGE
1,League of Legends,13.6,8.9,0.65,-
2,Dota 2,8.4,3.3,0.39,2
3,Fortnite,20.4,0.4,0.02,NEW!
4,Tom Clancy's Rainbow Six: Siege,1.6,0.4,0.25,1
5,PLAYERUNKNOWN'S BATTLEGROUNDS,12.7,0.4,0.03,3
6,Counter-Strike: Global Offensive,3.1,0.3,0.09,-
7,FIFA 18,1.4,0.2,0.18,NEW!
8,Arena of Valor,3.5,0.2,0.07,1
9,Street Fighter V,0.5,0.2,0.47,3
10,Age of Empires,0.4,0.2,0.58,
