RANK,TITLE,TOTAL HOURS(MILLION),ESPORTS HOURS(MILLION),SHARE ESPORTS,CHANGE
1,League of Legends,32.8,25.6,0.78,-
2,Counter-Strike: Global Offensive,6.1,1.8,0.29,-
3,Clash Royale,3.1,1.3,0.4,3
4,Arena of Valor,3.7,0.8,0.22,-
5,Fortnite,25.7,0.7,0.03,3
6,Tom Clancy's Rainbow Six: Siege,2,0.7,0.34,1
7,Dota 2,2,0.6,0.29,4
8,PLAYERUNKNOWN'S BATTLEGROUNDS,18.4,0.4,0.02,3
9,Summoners War: Sky Arena,0.4,0.4,0.99,NEW!
10,Warface,1.1,0.2,0.16,
