RANK,TITLE,TOTAL HOURS(MILLION),ESPORTS HOURS(MILLION),SHARE ESPORTS,CHANGE
1,Counter-Strike: Global Offensive,69.9,51.1,0.73,2
2,League of Legends,75.8,17.8,0.23,-
3,Hearthstone,24,5.3,0.22,1
4,Dota 2,29.6,4.2,0.14,3
5,Rocket League,6.3,3.9,0.61,11
6,Overwatch,20.2,3.5,0.18,-
7,Heroes of the Storm,4.8,2.1,0.43,-
8,World of Warcraft,46.7,1.7,0.04,24
9,StarCraft II,4.5,1.7,0.38,-
10,Street Fighter V,2.6,1.5,0.56,
