RANK,TITLE,TOTAL HOURS(MILLION),ESPORTS HOURS(MILLION),SHARE ESPORTS,CHANGE
1,League of Legends,75,21.9,0.29,1
2,Counter-Strike: Global Offensive,26.5,13.7,0.52,2
3,Dota 2,28.6,7,0.24,2
4,Overwatch,24.7,6.3,0.25,1
5,PLAYERUNKNOWN'S BATTLEGROUNDS,43.6,5.5,0.13,3
6,Hearthstone,27.6,5.4,0.2,1
7,Heroes of the Storm,8.2,3.6,0.44,1
8,StarCraft II,5.4,2.3,0.43,1
9,Call of Duty: WWII,2.8,1.6,0.57,3
10,Tom Clancy's Rainbow Six: Siege,12.8,1.1,0.09,NEW
