,Player ID,Player Name,Total (Year),Total (Overall),% of Total
1, SumaiL,Sumail Hassan,1730083.34,3285914.94,52.65%
2, UNiVeRsE,Saahil Arora,1730083.34,3030735.67,57.08%
3, ppd,Peter Dager,1730083.34,2896266.36,59.73%
4, Fear,Clinton Loomis,1730083.34,2497460.84,69.27%
5, Aui_2000,Kurtis Ling,1641751.74,1973978.04,83.17%
6, Q,"Fu, Bin",651447.48,1077085.38,60.48%
7, Agressif,"Sun, Zheng",651447.48,871452.21,74.75%
8, garder,"Liu, Xinzhou",651447.48,705437.16,92.35%
9, Xz,"Chen, Zezhi",644599.28,692261.40,93.12%
10, Shiki,"Huang, Jiwei",644599.28,653415.29,98.65%
11, Sylar,"Liu, Jiajun",597319.63,1177489.00,50.73%
12, MMY!,"Lei, Zengrong",597319.63,1112600.81,53.69%
13, Somnus?M,Lu Yao,581882.72,2241924.22,25.95%
14, xiao8,"Zhang, Ning",560409.39,1824534.96,30.72%
15, Yao,"Yao, Zhengzheng",532526.43,1190497.56,44.73%
16, fy,"Xu, Linsen",499214.36,2138733.44,23.34%
17, Super,"Xie, Junhao",499214.36,1578297.98,31.63%
18, iceiceice,"Koh, Daryl Pei Xiang",499214.36,1377071.76,36.25%
19, Fenrir,"Lu, Chao",499214.36,1374082.28,36.33%
20, Puppey,Clement Ivanov,445455.22,2029249.83,21.95%
21, s4,Gustav Magnusson,392417.86,2186343.71,17.95%
22, Arteezy,Artour Babaev,389362.42,1853442.81,21.01%
23, Hao,"Chen, Zhihao",383286.26,1761646.83,21.76%
24, LaNm,"Zhang, Zhicheng",359832.85,1167609.91,30.82%
25, N0tail,Johan Sundstein,349255.11,3733970.56,9.35%
26, rOtK,"Bai, Fan",348731.01,800163.91,43.58%
27, KuroKy,Kuro Takhasomi,333892.82,4098926.95,8.15%
28, DkPhobos,Alexander Kucheria,328916.71,383101.65,85.86%
29, fng,Artem Barshack,326829.49,422264.54,77.40%
30, Lil,Ilya Ilyuk,323549.69,902808.79,35.84%
31, G,Sergey Bragin,320471.57,410361.64,78.09%
32, Illidan,Ilya Pevcaev,319660.49,374500.10,85.36%
33, DDC,"Liang, Fa Ming",319566.58,1333773.07,23.96%
34, Cty,"Chen, Tianyu",316122.82,374326.26,84.45%
35, Zai,Ludwig W?hlberg,300056.42,1690062.05,17.75%
36, Fly,Tal Aizik,292596.67,1992585.80,14.68%
37, MoonMeander,David Tan,292596.67,829587.76,35.27%
38, BaRRaCCuDDa,John Salter,279976.00,329506.65,84.97%
39, JeffHindla,Rosario Villardi,279976.00,322714.31,86.76%
40, Andinster,Andrew Woodward,279976.00,321506.65,87.08%
41, MLCst3alth,Brett Felley,279976.00,313506.65,89.30%
42, Omegatron,Ryan Johnson,273976.00,301506.65,90.87%
43, END,Yang Pu,261231.42,401991.92,64.98%
44, Miracle-,Amer Al-Barkawi,248925.05,3671337.28,6.78%
45, Cr1t,Andreas Nielsen,248165.60,1603299.00,15.48%
46, MiSeRy,Rasmus Fillipsen,246488.31,1451611.72,16.98%
47, EternaLEnVy,Jacky Mao,246488.31,944599.69,26.09%
48, Faker,"Lee, Sang Hyeok",207158.85,1175068.35,17.63%
49, Easyhoon,"Lee, Ji Hoon",205179.93,249497.86,82.24%
50, Wolf,"Lee, Jae Wan",203688.54,913084.70,22.31%
51, MaRin,"Jang, Gyeong Hwan",200602.94,219660.30,91.32%
52, Bang,"Bae, Jun Sik",200139.69,910451.46,21.98%
53, Bengi,"Bae, Seong Ung",200139.69,810683.00,24.69%
54, QO,"Kim, Sunyeob",193630.02,589224.76,32.86%
55, March,"Park, Tae Won",188630.02,239387.97,78.80%
56, BurNIng,"Xu, Zhilei",185832.20,894602.63,20.77%
57, Febby,"Kim, Yong Min",179325.80,571855.03,31.36%
58, flusha,Robin R?nnquist,177821.99,730518.95,24.34%
59, olofmeister,Olof Kajbjer,175972.95,733069.01,24.00%
60, KRiMZ,Freddy Johansson,170372.95,680623.34,25.03%
61, JW,Jesper Wecksell,169872.95,708560.68,23.97%
62, kpii,Damien Chok,167595.72,1523861.05,11.00%
63, NutZ,Jeng Yih Wong,166496.55,224773.41,74.07%
64, w33,Aliwi Omar,148760.84,1243919.18,11.96%
65, pieliedie,Johan ?str?m,147798.80,832121.51,17.76%
66, Kazunoko,"Ryota, Inoue",145813.83,202233.75,72.10%
67, Clayster,James Eubanks,144619.50,408771.68,35.38%
68, Attach,Dillon Price,144167.00,345142.00,41.77%
69, FATA,Adrian Trinks,134925.91,1124360.82,12.00%
70, pronax,Markus Wallsten,126077.53,235071.26,53.63%
71, sOs,"Kim, Yoo Jin",123778.05,588428.47,21.04%
72, Resolut1on,Roman Fominok,122818.10,1377248.75,8.92%
73, alohadance,Ilya Korobkin,122818.10,151486.12,81.08%
74, JKap,Jordan Kaplan,120875.00,643217.98,18.79%
75, Replays,Chris Crowder,120080.50,258785.50,46.40%
76, Life,"Lee, Seung Hyun",119562.88,475900.67,25.12%
77, NBK,Nathan Schmitt,118083.29,606362.49,19.47%
78, Happy,Vincent Schopenhauer,118083.29,487941.49,24.20%
79, Ferrari_430,"Luo, Feichi",117074.11,578798.48,20.23%
80, Xi,"Luo, Yinqi",117074.11,296676.15,39.46%
81, ChuaN,"Wong, Hock Chuan",116457.63,740982.93,15.72%
82, Ataraxia,Nate Mark,114490.40,166490.40,68.77%
83, PrettyPriMe,Emil Edstr?m,114490.40,166490.40,68.77%
84, Repikas,Thomas Skallab?k,114490.40,123727.58,92.53%
85, KanyeLife,Andreas Christmansson,114490.40,123362.04,92.81%
86, Loda,Jonathan Berg,113011.71,700205.01,16.14%
87, Akke,Joakim Akterhall,113011.71,645138.99,17.52%
88, SonicFox,Dominique Mclean,112174.00,525495.78,21.35%
89, Daigo,"Umehara, Daigo",111814.93,233579.82,47.87%
90, Firebat,James Kostesich,111592.04,231053.10,48.30%
91, AdmiralBulldog,Henrik Ahnberg,110857.89,630338.79,17.59%
92, Dawn,"Jang, Hyun Jae",109780.04,112877.04,97.26%
93, Ostkaka,Sebastian Engwall,109759.42,148699.92,73.81%
94, Confrey,Kevin Confrey,109690.40,114690.40,95.64%
95, KIOSHIMA,Fabien Fiey,109091.29,345693.00,31.56%
96, Faith,"Zeng, Hongda",107552.11,1740145.81,6.18%
97, Silent,Airat Gaziev,104987.10,321762.29,32.63%
98, TaZ,Wiktor Wojtas,104499.06,708672.54,14.75%
99, neo,Filip Kubski,103999.06,726229.79,14.32%
100, Lifecoach,Adrian Koy,103840.73,201605.71,51.51%
