,Player ID,Player Name,Total (Year),Total (Overall),% of Tota
88, xiao8,"Zhang, Ning",162332.23,1824534.96,8.90%
89, NAF,Keith Markovic,160483.33,408715.66,39.27%
90, tarik,Tarik Celik,155591.67,516639.21,30.12%
91, mixwell,Oscar Ca?ellas,151339.97,231830.95,65.28%
92, cajunb,Ren? Borg,147920.46,392930.58,37.65%
93, flusha,Robin R?nnquist,147522.20,730518.95,20.19%
94, Kjaerbye,Markus Kj?rbye,145554.20,540767.17,26.92%
95, seized,Denis Kostin,145133.33,336486.83,43.13%
96, flamie,Egor Vasilyev,143883.33,494940.82,29.07%
97, MMY!,"Lei, Zengrong",143790.75,1112600.81,12.92%
98, GuardiaN,Ladislav Kov?cs,142633.33,700525.32,20.36%
99, Edward,Ioann Sukharev,142633.33,626354.70,22.77%
100, Cratos,Carlos Ayala,142525.00,154008.33,92.54%
