,Player ID,Player Name,Total (Year),Total (Overall),% of Total
1, s4,Gustav Magnusson,320987.46,2186343.71,14.68%
2, Loda,Jonathan Berg,320827.46,700205.01,45.82%
3, Akke,Joakim Akterhall,320827.46,645138.99,49.73%
4, AdmiralBulldog,Henrik Ahnberg,320827.46,630338.79,50.90%
5, EGM,Jerry Lundqvist,320687.46,672272.00,47.70%
6, Brian Dragotto,Brian Dragotto,290000.00,290000.00,100.00%
7, Faker,"Lee, Sang Hyeok",229659.02,1175068.35,19.54%
8, PoohManDu,"Lee, Jeong Hyeon",223391.45,256771.39,87.00%
9, Bengi,"Bae, Seong Ung",220649.20,810683.00,27.22%
10, Piglet,"Chae, Gwang Jin",220649.20,265429.15,83.13%
11, Impact,"Jung, Eon Yeong",219860.22,421427.84,52.17%
12, Ace,Aaron Elam,202625.00,318225.00,63.67%
13, Funn1k,Gleb Lipatnikov,157669.18,400137.75,39.40%
14, Dendi,Danil Ishutin,156609.18,794357.60,19.72%
15, XBOCT,Oleksandr Dashkevych,156609.18,650928.49,24.06%
16, KuroKy,Kuro Takhasomi,156581.09,4098926.95,3.82%
17, Puppey,Clement Ivanov,155009.18,2029249.83,7.64%
18, sOs,"Kim, Yoo Jin",151268.69,588428.47,25.71%
19, BorasLegend,Ivan Lapanje,145378.56,172919.70,84.07%
20, Problem,Eric Wright,140000.00,390000.00,35.90%
21, Jaedong,"Lee, Jae Dong",126230.11,637540.35,19.80%
22, Randy Pfohl,Randy Pfohl,125000.00,125000.00,100.00%
23, INnoVation,"Lee, Shin Hyung",117332.15,521251.52,22.51%
24, Parasite,Chris Duarte,115532.62,201339.34,57.38%
25, Karma,Damon Barlow,115239.12,707022.25,16.30%
26, Killa,Adam Sloss,115001.37,172253.94,66.76%
27, MiRx,Marcus Carter,114080.12,143130.47,79.70%
28, Soulkey,"Kim, Min Chul",113797.85,191762.02,59.34%
29, TaeJa,"Yoon, Young Suh",107887.74,291216.63,37.05%
30, NaNiwa,Johan Lucchesi,84698.67,178843.69,47.36%
31, Life,"Lee, Seung Hyun",83909.42,475900.67,17.63%
32, Bomber,"Choi, Ji Sung",83832.62,258335.13,32.45%
33, Pistola,Justin Deese,81525.00,367660.00,22.17%
34, Polt,"Choi, Sung Hoon",81519.56,451904.48,18.04%
35, Dear,"Baek, Dong Jun",81067.43,179052.99,45.28%
36, Jeff Derrenberger,Jeff Derrenberger,80000.00,80000.00,100.00%
37, Mushi,"Chai, Yee Fung",71478.14,1019063.42,7.01%
38, LarryDavid,Julian Fusco,70000.00,70000.00,100.00%
39, Maru,"Cho, Sung Choo",68957.71,694660.15,9.93%
40, MC,"Jang, Min Chul",67460.57,506802.16,13.31%
41, MMA,"Moon, Sung Won",66118.33,407169.17,16.24%
42, Ohaiyo,"Chong, Xin Khoo",65609.10,582526.49,11.26%
43, Net,Pern Lim Wai,65609.10,153148.25,42.84%
44, Ky`xY,"Lee, Kong Yang",65609.10,127786.54,51.34%
45, Xtinct,Joel Chan Zhan Leong,65609.10,93985.14,69.81%
46, RorO,"Shin, No Yeol",63070.11,79910.06,78.93%
47, Hao,"Chen, Zhihao",61937.68,1761646.83,3.52%
48, Uzi,"Jian, Zihao",61803.18,484733.39,12.75%
49, GodLike,"Xiao, Wang",61803.18,82589.17,74.83%
50, Banana,"Jiao, Wang",61615.86,1279561.36,4.82%
51, Lucky,"Liu, Junjie",61471.45,71719.24,85.71%
52, Mu,"Zhang, Pan",61054.15,1390711.71,4.39%
53, SanSheng,"Wang, Zhaohui",61054.15,1218081.38,5.01%
54, Gogoing,"Gao, Di Ping",60264.04,113570.08,53.06%
55, Cool,"Yu, Jia Jun",60264.04,111855.08,53.88%
56, LoveLing,"Yin, Le",60264.04,110071.90,54.75%
57, PartinG,"Won, Lee Sak",60144.94,359108.67,16.75%
58, Wh1t3zZ,"Lo, Pun Wai",59831.19,64306.76,93.04%
59, Crimsix,Ian Porter,59492.50,682651.14,8.71%
60, Teepee,Tyler Polchow,59492.50,230712.03,25.79%
61, Aches,Patrick Price,59312.50,450431.76,13.17%
62, HyuN,"Ko, Seok Hyun",58550.58,235535.11,24.86%
63, KingJ,"Zhou, Yang",58399.12,84210.61,69.35%
64, Mvp,"Jung, Jong Hyun",57495.28,409621.15,14.04%
