,Player ID,Player Name,Total (Year),Total (Overall),% of Total
65, StaiNViLLe,Tosh Mcgruder,57387.98,71820.48,79.90%
66, Tabe,"Wong, Pak Kan",57273.55,63327.14,90.44%
67, san,"Guo, Jun Liang",56264.04,108594.22,51.81%
68, Rambo,Raymond Lussier,55449.42,123088.73,45.05%
69, HerO,"Song, Hyeon Deok",55157.12,261737.87,21.07%
70, Proofy,Jordan Cannon,55079.23,93440.37,58.95%
71, JKap,Jordan Kaplan,54184.23,643217.98,8.42%
72, sOAZ,Paul Boyer,53540.00,327703.79,16.34%
73, YellOwStaR,Bora Kim,53540.00,167608.11,31.94%
74, xPeke,Enrique Cede?o Martinez,53540.00,166127.40,32.23%
75, Cyanide,Lauri Happonen,53540.00,115902.10,46.19%
76, watch,"Cho, Jae Geol",51869.92,111458.70,46.54%
77, Cain,"Jang, Nu Ri",51869.92,78010.14,66.49%
78, PraY,"Kim, Jong In",50043.44,373586.22,13.40%
79, Zachary Thornton,Zachary Thornton,50000.00,50000.00,100.00%
80, Rain,"Jung, Yoon Jong",49626.92,273888.96,18.12%
81, f0rest,Patrik Lindberg,48371.69,647576.77,7.47%
82, GeT_RiGhT,Christopher Alesund,48371.69,563904.02,8.58%
83, Xizt,Richard Landstr?m,48371.69,487063.99,9.93%
84, friberg,Adam Friberg,48371.69,388168.59,12.46%
85, Fifflaren,Robin Johansson,48371.69,124472.55,38.86%
86, bigpomelo,"Ouyang, Wei Qi",48049.85,56682.07,84.77%
87, YoDa,"Choi, Byung Hyun",46695.99,84119.07,55.51%
88, duckdeok,"Kim, Kyung Deok",43673.20,122994.68,35.51%
89, First,"Kang, Hyun Woo",42921.81,89725.40,47.84%
90, Snute,Jens Aasgaard,42854.64,371843.71,11.52%
91, Scarlett,Sasha Hostyn,42425.90,296124.44,14.33%
92, Symbol,"Kang, Dong Hyun",42316.54,94856.43,44.61%
93, dade,"Bae, Eo Jin",41587.49,118986.53,34.95%
94, Ralfitita,Rafael Riob?,41000.00,46083.00,88.97%
95, MMY!,"Lei, Zengrong",40770.84,1112600.81,3.66%
96, BurNIng,"Xu, Zhilei",40770.84,894602.63,4.56%
97, puszu,Johannes Uibos,40000.00,40254.31,99.37%
98, charley25k,- -,40000.00,40000.00,100.00%
99, Chris Tomkinson,Chris Tomkinson,40000.00,40000.00,100.00%
100, Expession,"Gu, Bon Taek",36323.00,46568.90,78.00%
